"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C9,C11","100nF","~","Capacitor_SMD:C_1206_3216Metric","3",""
"C2","120uF","~","Capacitor_SMD:CP_Elec_10x10","1",""
"C3,C5","15p","~","Capacitor_SMD:C_0805_2012Metric","2",""
"C4","100pF","~","Capacitor_SMD:C_1206_3216Metric","1",""
"C6","1nF","~","Capacitor_SMD:C_0603_1608Metric","1",""
"C7","220u","~","Capacitor_SMD:CP_Elec_10x10","1",""
"C8","10u","~","Capacitor_Tantalum_SMD:CP_EIA-3528-12_Kemet-T","1",""
"C10","22u","~","Capacitor_Tantalum_SMD:CP_EIA-3216-12_Kemet-S","1",""
"D1","PMEG040V050EPD","https://assets.nexperia.com/documents/data-sheet/PMEG040V050EPD.pdf","Package_TO_SOT_SMD:Nexperia_CFP15_SOT-1289","1",""
"D2","1N5822","http://www.vishay.com/docs/88526/1n5820.pdf","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","1",""
"D3","LED_Power","https://www.we-online.com/components/products/datasheet/150080GS75000.pdf","LED_SMD:LED_0805_2012Metric","1",""
"D4","LED","https://www.we-online.com/components/products/datasheet/150080SS75000.pdf","LED_SMD:LED_0805_2012Metric","1",""
"D5,D7","LED_Relé","https://www.we-online.com/components/products/datasheet/150080BS75000.pdf","LED_SMD:LED_0805_2012Metric","2",""
"D6,D8,D9,D10","PMEG6030EP","https://assets.nexperia.com/documents/data-sheet/PMEG6030EP.pdf","Diode_SMD:D_SOD-128","4",""
"J1","Screw_Terminal_01x02","https://www.we-online.com/components/products/datasheet/691137710002.pdf","TerminalBlock:TerminalBlock_Altech_AK300-2_P5.00mm","1",""
"J2,J5,J6,J7","Conn_01x02","https://www.we-online.com/components/products/datasheet/61300211121.pdf","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","4",""
"J3","Conn_02x03_Counter_Clockwise","https://www.we-online.com/components/products/datasheet/61200621621.pdf","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","1",""
"J4","DE9_Plug","https://app.adam-tech.com/products/download/data_sheet/198661/dxxx-pt-1-data-sheet.pdf","Connector_Dsub:DSUB-9_Male_Vertical_P2.77x2.84mm","1",""
"J8","Conn_01x06","https://www.we-online.com/components/products/datasheet/61300611121.pdf","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","1",""
"JP1","Jumper_3_Open","~","Connector:FanPinHeader_1x03_P2.54mm_Vertical","1",""
"K1,K2","Fujitsu_FTR-LYAA005x","https://www.fujitsu.com/sg/imagesgig5/ftr-ly.pdf","Relay_THT:Relay_SPST-NO_Fujitsu_FTR-LYAA005x_FormA_Vertical","2",""
"L1","68u","~","Inductor_SMD:L_1206_3216Metric","1",""
"Q1,Q2","2SC4213","https://toshiba.semicon-storage.com/info/docget.jsp?did=19305&prodName=2SC4213","Package_TO_SOT_SMD:SOT-323_SC-70","2",""
"R1","15k","~","Resistor_SMD:R_1206_3216Metric","1",""
"R2,R3","60","~","Resistor_SMD:R_1206_3216Metric","2",""
"R4","0","~","Resistor_SMD:R_1206_3216Metric","1",""
"R5,R15,R18","1k","~","Resistor_SMD:R_1206_3216Metric","3",""
"R6","4,7K","~","Resistor_SMD:R_1206_3216Metric","1",""
"R7,R8,R14","4,7k","~","Resistor_SMD:R_1206_3216Metric","3",""
"R9,R10","10K","~","Resistor_SMD:R_1206_3216Metric","2",""
"R11","330","~","Resistor_SMD:R_1206_3216Metric","1",""
"R12","515","~","Resistor_SMD:R_1206_3216Metric","1",""
"R13,R16","290","~","Resistor_SMD:R_1206_3216Metric","2",""
"R17","4.7K","~","Resistor_SMD:R_1206_3216Metric","1",""
"R19","10k","~","Resistor_SMD:R_0805_2012Metric","1",""
"SW1","SW_Push","~","Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK","1",""
"U1","MCP2557FD-xSN","https://ww1.microchip.com/downloads/en/DeviceDoc/20005533A.pdf","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1",""
"U2","LM2596S-ADJ","http://www.ti.com/lit/ds/symlink/lm2596.pdf","Library:TO-263-5_TabPin3","1",""
"U3","PIC18F258-I/SO","PIC18F258-I/SO","Librery_SOIC28:SOIC28-W_MC_MCH","1",""
"U4","LM1117DT-5.0","http://www.ti.com/lit/ds/symlink/lm1117.pdf","Library:TO-252-3_TabPin2","1",""
"U5","MCP4725xxx-xCH","http://ww1.microchip.com/downloads/en/DeviceDoc/22039d.pdf","Package_TO_SOT_SMD:SOT-23-6","1",""
"Y1","HC-49-US","https://www.mouser.es/datasheet/2/3/abls-1664338.pdf","Crystal:Crystal_SMD_HC49-SD","1",""
